sentence_id,token,tag
sent_019,ty,I-PARTY
sent_019,B,I-PARTY
sent_019,ngay,O
sent_019,15/03/2024,B-DATE
sent_019,tri,O
sent_019,gia,O
sent_019,500,B-AMOUNT
sent_019,trieu,I-AMOUNT
sent_019,dong,I-AMOUNT
sent_020,Ben,O
sent_020,cho,O
sent_020,thue,O
sent_020,la,O
sent_020,Cong,B-PARTY
sent_020,ty,I-PARTY
sent_020,C,I-PARTY
sent_020,thoi,O
sent_020,han,O
sent_020,tu,O
sent_020,01/01/2025,B-DATE
sent_020,den,O
sent_020,31/12/2025,B-DATE
sent_021,Gia,O
sent_021,tri,O
sent_021,hop,O
sent_021,dong,O
sent_021,la,O
sent_021,1.2,B-AMOUNT
sent_021,ty,I-AMOUNT
sent_021,dong,I-AMOUNT
sent_021,thanh,O
sent_021,toan,O
sent_021,truoc,O
sent_021,ngay,O
sent_021,10/05/2024,B-DATE
sent_022,Cong,B-PARTY
sent_022,ty,I-PARTY
sent_022,A,I-PARTY
sent_022,ky,O
sent_022,hop,O
sent_022,dong,O
sent_022,voi,O
sent_022,cong,B-PARTY
sent_022,ty,I-PARTY
sent_022,B,I-PARTY
sent_022,ngay,O
sent_022,15/03/2024,B-DATE
sent_022,tri,O
sent_022,gia,O
sent_022,500,B-AMOUNT
sent_022,trieu,I-AMOUNT
sent_022,dong,I-AMOUNT
sent_023,Ben,O
sent_023,cho,O
sent_023,thue,O
sent_023,la,O
sent_023,Cong,B-PARTY
sent_023,ty,I-PARTY
sent_023,C,I-PARTY
sent_023,thoi,O
sent_023,han,O
sent_023,tu,O
sent_023,01/01/2025,B-DATE
sent_023,den,O
sent_023,31/12/2025,B-DATE
sent_024,Gia,O
sent_024,tri,O
sent_024,hop,O
sent_024,dong,O
sent_024,la,O
sent_024,1.2,B-AMOUNT
sent_024,ty,I-AMOUNT
sent_024,dong,I-AMOUNT
sent_024,thanh,O
sent_024,toan,O
sent_024,truoc,O
sent_024,ngay,O
sent_024,10/05/2024,B-DATE
sent_025,Cong,B-PARTY
sent_025,ty,I-PARTY
sent_025,A,I-PARTY
sent_025,ky,O
sent_025,hop,O
sent_025,dong,O
sent_025,voi,O
sent_025,cong,B-PARTY
sent_025,ty,I-PARTY
sent_025,B,I-PARTY
sent_025,ngay,O
sent_025,15/03/2024,B-DATE
sent_025,tri,O
sent_025,gia,O
sent_025,500,B-AMOUNT
sent_025,trieu,I-AMOUNT
sent_025,dong,I-AMOUNT
sent_026,Ben,O
sent_026,cho,O
sent_026,thue,O
sent_026,la,O
sent_026,Cong,B-PARTY
sent_026,ty,I-PARTY
sent_026,C,I-PARTY
sent_026,thoi,O
sent_026,han,O
sent_026,tu,O
sent_026,01/01/2025,B-DATE
sent_026,den,O
sent_026,31/12/2025,B-DATE
sent_027,Gia,O
sent_027,tri,O
sent_027,hop,O
sent_027,dong,O
sent_027,la,O
sent_027,1.2,B-AMOUNT
sent_027,ty,I-AMOUNT
sent_027,dong,I-AMOUNT
sent_027,thanh,O
sent_027,toan,O
sent_027,truoc,O
sent_027,ngay,O
sent_027,10/05/2024,B-DATE
sent_028,Cong,B-PARTY
sent_028,ty,I-PARTY
sent_028,A,I-PARTY
sent_028,ky,O
sent_028,hop,O
sent_028,dong,O
sent_028,voi,O
sent_028,cong,B-PARTY
sent_028,ty,I-PARTY
sent_028,B,I-PARTY
sent_028,ngay,O
sent_028,15/03/2024,B-DATE
sent_028,tri,O
sent_028,gia,O
sent_028,500,B-AMOUNT
sent_028,trieu,I-AMOUNT
sent_028,dong,I-AMOUNT
sent_029,Ben,O
sent_029,cho,O
sent_029,thue,O
sent_029,la,O
sent_029,Cong,B-PARTY
sent_029,ty,I-PARTY
sent_029,C,I-PARTY
sent_029,thoi,O
sent_029,han,O
sent_029,tu,O
sent_029,01/01/2025,B-DATE
sent_029,den,O
sent_029,31/12/2025,B-DATE
sent_030,Gia,O
sent_030,tri,O
sent_030,hop,O
sent_030,dong,O
sent_030,la,O
sent_030,1.2,B-AMOUNT
sent_030,ty,I-AMOUNT
sent_030,dong,I-AMOUNT
sent_030,thanh,O
sent_030,toan,O
sent_030,truoc,O
sent_030,ngay,O
sent_030,10/05/2024,B-DATE
